EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2016	Q2	Apr	2016	T2	avr.	Male	Hommes	Other occupations	Autres occupations	13030
2017	Q2	May	2017	T2	mai	Male	Hommes	Other occupations	Autres occupations	12605
2020	Q2	May	2020	T2	mai	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q3	Sep	2021	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q2	Apr	2025	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q3	Sep	2021	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Feb	2025	T1	fév.	Male	Hommes	Other occupations	Autres occupations	28800
2021	Q3	Sep	2021	T3	sept.	Male	Hommes	Other occupations	Autres occupations	16765
2015	Q3	Sep	2015	T3	sept.	Male	Hommes	Other occupations	Autres occupations	11345
2022	Q1	Mar	2022	T1	mars	Male	Hommes	Other occupations	Autres occupations	14235
2020	Q3	Aug	2020	T3	août	Female	Femmes	Other occupations	Autres occupations	5520
2015	Q1	Feb	2015	T1	fév.	Female	Femmes	Other occupations	Autres occupations	4620
2021	Q4	Nov	2021	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q4	Dec	2020	T4	déc.	Male	Hommes	Other occupations	Autres occupations	21455
2024	Q3	Jul	2024	T3	juil.	Female	Femmes	Other occupations	Autres occupations	28745
2019	Q4	Dec	2019	T4	déc.	Male	Hommes	Other occupations	Autres occupations	15185
2018	Q1	Feb	2018	T1	fév.	Female	Femmes	Other occupations	Autres occupations	9000
2015	Q4	Nov	2015	T4	nov.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	10
