EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2018	Q2	Jun	2018	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	5
2016	Q4	Oct	2016	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q2	May	2021	T2	mai	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q2	Jun	2016	T2	juin	Male	Hommes	Other occupations	Autres occupations	14420
2015	Q4	Dec	2015	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2022	Q3	Aug	2022	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q1	Feb	2021	T1	fév.	Female	Femmes	Other occupations	Autres occupations	15115
2019	Q4	Nov	2019	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2019	Q2	Apr	2019	T2	avr.	Male	Hommes	Other occupations	Autres occupations	13755
2015	Q4	Dec	2015	T4	déc.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	May	2015	T2	mai	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2024	Q1	Feb	2024	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2016	Q1	Feb	2016	T1	fév.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	15
2022	Q3	Aug	2022	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q4	Dec	2020	T4	déc.	Female	Femmes	Other occupations	Autres occupations	17030
2017	Q4	Oct	2017	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2025	Q3	Jul	2025	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2021	Q4	Dec	2021	T4	déc.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2024	Q3	Sep	2024	T3	sept.	Female	Femmes	Other occupations	Autres occupations	25910
2018	Q1	Feb	2018	T1	fév.	Male	Hommes	Other occupations	Autres occupations	11290
2017	Q2	Apr	2017	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	40
2025	Q3	Sep	2025	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	75
2019	Q2	Apr	2019	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q1	Mar	2021	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	--
2015	Q4	Dec	2015	T4	déc.	Male	Hommes	Other occupations	Autres occupations	6525
2024	Q2	Apr	2024	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2022	Q2	Apr	2022	T2	avr.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2024	Q4	Dec	2024	T4	déc.	Female	Femmes	Other occupations	Autres occupations	23850
2025	Q3	Jul	2025	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q3	Aug	2017	T3	août	Male	Hommes	Other occupations	Autres occupations	13780
2022	Q4	Oct	2022	T4	oct.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q3	Sep	2025	T3	sept.	Male	Hommes	Other occupations	Autres occupations	24425
2017	Q3	Jul	2017	T3	juil.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q1	Mar	2021	T1	mars	Female	Femmes	Other occupations	Autres occupations	14555
2016	Q3	Aug	2016	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q4	Nov	2019	T4	nov.	Male	Hommes	Other occupations	Autres occupations	16390
2017	Q4	Oct	2017	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q1	Feb	2023	T1	fév.	Female	Femmes	Other occupations	Autres occupations	26320
2020	Q3	Sep	2020	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2023	Q2	Apr	2023	T2	avr.	Female	Femmes	Other occupations	Autres occupations	29005
2022	Q3	Jul	2022	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2017	Q2	May	2017	T2	mai	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q2	May	2023	T2	mai	Another gender	Un autre genre	Other occupations	Autres occupations	--
2015	Q2	Jun	2015	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	15
2020	Q2	Apr	2020	T2	avr.	Female	Femmes	Other occupations	Autres occupations	7240
