EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q1	Feb	2015	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	45 to 59 years old	45 à 59 ans	10
2015	Q1	Feb	2015	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	60 to 74 years old	60 à 74 ans	--
2015	Q1	Feb	2015	T1	fév.	Province/territory not stated	Province / territoire non déclaré(e)	15 to 29 years old	15 à 29 ans	--
2015	Q1	Feb	2015	T1	fév.	Province/territory not stated	Province / territoire non déclaré(e)	60 to 74 years old	60 à 74 ans	--
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	0 to 14 years old	0 à 14 ans	515
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	15 to 29 years old	15 à 29 ans	860
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	30 to 44 years old	30 à 44 ans	1135
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	45 to 59 years old	45 à 59 ans	335
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	60 to 74 years old	60 à 74 ans	60
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	75 years old or more	75 ans et plus	15
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	Age not stated	Âge non déclaré	--
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	0 to 14 years old	0 à 14 ans	145
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	15 to 29 years old	15 à 29 ans	225
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	30 to 44 years old	30 à 44 ans	240
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	45 to 59 years old	45 à 59 ans	60
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	60 to 74 years old	60 à 74 ans	10
2015	Q1	Feb	2015	T1	fév.	Saskatchewan	Saskatchewan	75 years old or more	75 ans et plus	--
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	0 to 14 years old	0 à 14 ans	--
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	15 to 29 years old	15 à 29 ans	5
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	30 to 44 years old	30 à 44 ans	5
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	45 to 59 years old	45 à 59 ans	--
