EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_GENDER	FR_SEXE	TOTAL
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	Male	Hommes	1005
2024	Q2	Jun	2024	T2	juin	Nova Scotia	Nouvelle-Écosse	Another gender	Un autre genre	--
2018	Q2	Apr	2018	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2016	Q2	May	2016	T2	mai	Nunavut	Nunavut	Female	Femmes	--
2017	Q3	Sep	2017	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	--
2015	Q3	Jul	2015	T3	juil.	Quebec	Québec	Female	Femmes	2675
2022	Q4	Oct	2022	T4	oct.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	200
2023	Q1	Feb	2023	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	145
2024	Q3	Jul	2024	T3	juil.	Alberta	Alberta	Female	Femmes	3150
2023	Q4	Dec	2023	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	225
2019	Q3	Sep	2019	T3	sept.	Alberta	Alberta	Male	Hommes	2245
2020	Q2	Jun	2020	T2	juin	Alberta	Alberta	Female	Femmes	1090
2024	Q3	Jul	2024	T3	juil.	Quebec	Québec	Female	Femmes	3370
2023	Q4	Oct	2023	T4	oct.	Quebec	Québec	Female	Femmes	1860
2019	Q2	May	2019	T2	mai	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2024	Q4	Nov	2024	T4	nov.	Nunavut	Nunavut	Male	Hommes	--
2023	Q1	Jan	2023	T1	janv.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2020	Q2	Apr	2020	T2	avr.	Ontario	Ontario	Male	Hommes	1115
2017	Q2	May	2017	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2015	Q4	Oct	2015	T4	oct.	Manitoba	Manitoba	Male	Hommes	760
2017	Q3	Jul	2017	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	95
2025	Q3	Aug	2025	T3	août	Nova Scotia	Nouvelle-Écosse	Female	Femmes	350
2023	Q3	Aug	2023	T3	août	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	5
2019	Q1	Feb	2019	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	40
2019	Q4	Nov	2019	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	80
2020	Q1	Feb	2020	T1	fév.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	235
2015	Q1	Mar	2015	T1	mars	Nunavut	Nunavut	Female	Femmes	5
2024	Q4	Nov	2024	T4	nov.	Saskatchewan	Saskatchewan	Another gender	Un autre genre	--
2021	Q1	Feb	2021	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	65
2017	Q3	Sep	2017	T3	sept.	Ontario	Ontario	Male	Hommes	4685
2016	Q2	Apr	2016	T2	avr.	New Brunswick	Nouveau-Brunswick	Male	Hommes	145
2017	Q1	Jan	2017	T1	janv.	Saskatchewan	Saskatchewan	Female	Femmes	655
2020	Q4	Oct	2020	T4	oct.	New Brunswick	Nouveau-Brunswick	Female	Femmes	80
2015	Q3	Jul	2015	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	70
2016	Q3	Sep	2016	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2023	Q2	Jun	2023	T2	juin	Quebec	Québec	Male	Hommes	2295
2017	Q1	Mar	2017	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	15
2019	Q1	Jan	2019	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	65
2019	Q1	Mar	2019	T1	mars	Alberta	Alberta	Female	Femmes	1800
2021	Q4	Oct	2021	T4	oct.	Yukon	Yukon	Male	Hommes	35
2021	Q4	Dec	2021	T4	déc.	British Columbia	Colombie-Britannique	Female	Femmes	3435
2020	Q3	Aug	2020	T3	août	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	--
2025	Q3	Jul	2025	T3	juil.	Manitoba	Manitoba	Another gender	Un autre genre	--
2019	Q2	Jun	2019	T2	juin	Yukon	Yukon	Male	Hommes	25
2016	Q2	Apr	2016	T2	avr.	New Brunswick	Nouveau-Brunswick	Female	Femmes	140
2016	Q2	Jun	2016	T2	juin	Saskatchewan	Saskatchewan	Male	Hommes	870
2017	Q4	Oct	2017	T4	oct.	Ontario	Ontario	Male	Hommes	4965
2021	Q2	May	2021	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	35
2015	Q4	Nov	2015	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	45
2019	Q1	Feb	2019	T1	fév.	Manitoba	Manitoba	Male	Hommes	470
2015	Q4	Dec	2015	T4	déc.	Quebec	Québec	Male	Hommes	2470
2019	Q4	Dec	2019	T4	déc.	Saskatchewan	Saskatchewan	Male	Hommes	400
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Female	Femmes	3405
2024	Q2	Jun	2024	T2	juin	Nunavut	Nunavut	Male	Hommes	--
2023	Q2	Apr	2023	T2	avr.	Ontario	Ontario	Male	Hommes	6945
2025	Q2	Jun	2025	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	35
2016	Q2	Jun	2016	T2	juin	Nunavut	Nunavut	Female	Femmes	--
2018	Q4	Oct	2018	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2026	Q1	Jan	2026	T1	janv.	British Columbia	Colombie-Britannique	Male	Hommes	1585
2022	Q2	May	2022	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	805
2018	Q1	Feb	2018	T1	fév.	New Brunswick	Nouveau-Brunswick	Female	Femmes	205
2019	Q3	Aug	2019	T3	août	New Brunswick	Nouveau-Brunswick	Female	Femmes	260
2020	Q1	Mar	2020	T1	mars	Manitoba	Manitoba	Female	Femmes	420
2022	Q4	Nov	2022	T4	nov.	Yukon	Yukon	Female	Femmes	5
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Female	Femmes	2625
2017	Q4	Nov	2017	T4	nov.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2023	Q2	Apr	2023	T2	avr.	New Brunswick	Nouveau-Brunswick	Female	Femmes	225
2019	Q2	May	2019	T2	mai	British Columbia	Colombie-Britannique	Male	Hommes	2270
2024	Q4	Oct	2024	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	15
2025	Q4	Dec	2025	T4	déc.	New Brunswick	Nouveau-Brunswick	Female	Femmes	325
2018	Q2	Apr	2018	T2	avr.	Manitoba	Manitoba	Female	Femmes	780
2025	Q2	Jun	2025	T2	juin	Saskatchewan	Saskatchewan	Female	Femmes	665
2020	Q3	Aug	2020	T3	août	Saskatchewan	Saskatchewan	Female	Femmes	235
2020	Q2	Apr	2020	T2	avr.	Quebec	Québec	Female	Femmes	100
2016	Q2	Apr	2016	T2	avr.	Manitoba	Manitoba	Female	Femmes	840
2017	Q2	Apr	2017	T2	avr.	Ontario	Ontario	Male	Hommes	4040
2021	Q1	Feb	2021	T1	fév.	Ontario	Ontario	Female	Femmes	5775
2025	Q4	Oct	2025	T4	oct.	British Columbia	Colombie-Britannique	Male	Hommes	1805
2018	Q3	Aug	2018	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	105
2022	Q1	Jan	2022	T1	janv.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2025	Q3	Sep	2025	T3	sept.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2019	Q4	Dec	2019	T4	déc.	Nunavut	Nunavut	Female	Femmes	--
2021	Q2	Jun	2021	T2	juin	Nunavut	Nunavut	Female	Femmes	--
2024	Q2	Apr	2024	T2	avr.	British Columbia	Colombie-Britannique	Male	Hommes	2615
2022	Q2	Apr	2022	T2	avr.	Ontario	Ontario	Another gender	Un autre genre	--
2022	Q1	Mar	2022	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	120
2022	Q4	Oct	2022	T4	oct.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2022	Q4	Dec	2022	T4	déc.	Quebec	Québec	Male	Hommes	2680
2025	Q1	Feb	2025	T1	fév.	Saskatchewan	Saskatchewan	Male	Hommes	675
2019	Q1	Mar	2019	T1	mars	Manitoba	Manitoba	Female	Femmes	715
2022	Q2	May	2022	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	115
2016	Q4	Nov	2016	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	60
2021	Q1	Jan	2021	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	570
2015	Q2	Jun	2015	T2	juin	Alberta	Alberta	Female	Femmes	2140
2022	Q1	Mar	2022	T1	mars	Alberta	Alberta	Male	Hommes	2385
2020	Q4	Dec	2020	T4	déc.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	110
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Female	Femmes	2010
2015	Q3	Jul	2015	T3	juil.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2017	Q3	Aug	2017	T3	août	Yukon	Yukon	Female	Femmes	10
2021	Q1	Jan	2021	T1	janv.	Nunavut	Nunavut	Female	Femmes	--
2024	Q4	Nov	2024	T4	nov.	British Columbia	Colombie-Britannique	Female	Femmes	2510
2021	Q4	Oct	2021	T4	oct.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	130
2023	Q2	Jun	2023	T2	juin	Yukon	Yukon	Male	Hommes	30
2022	Q3	Sep	2022	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	15
2024	Q1	Jan	2024	T1	janv.	Nunavut	Nunavut	Male	Hommes	--
2025	Q1	Jan	2025	T1	janv.	Yukon	Yukon	Male	Hommes	60
