EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_GENDER	FR_SEXE	TOTAL
2015	Q3	Jul	2015	T3	juil.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	160
2019	Q4	Oct	2019	T4	oct.	Yukon	Yukon	Female	Femmes	15
2015	Q3	Jul	2015	T3	juil.	Nunavut	Nunavut	Male	Hommes	--
2015	Q3	Sep	2015	T3	sept.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	Male	Hommes	905
2016	Q3	Sep	2016	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	35
2020	Q4	Oct	2020	T4	oct.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	115
2017	Q1	Feb	2017	T1	fév.	Quebec	Québec	Female	Femmes	1890
2021	Q4	Nov	2021	T4	nov.	Nunavut	Nunavut	Female	Femmes	--
2020	Q4	Dec	2020	T4	déc.	Quebec	Québec	Female	Femmes	1110
2020	Q3	Jul	2020	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	20
2021	Q1	Jan	2021	T1	janv.	British Columbia	Colombie-Britannique	Female	Femmes	1620
2016	Q2	Jun	2016	T2	juin	Quebec	Québec	Male	Hommes	2740
2025	Q4	Oct	2025	T4	oct.	Quebec	Québec	Male	Hommes	2415
2022	Q3	Aug	2022	T3	août	Manitoba	Manitoba	Female	Femmes	830
2018	Q3	Sep	2018	T3	sept.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
